month_year,loan_type,number_of_accounts,number_of_past_due_accounts,outstanding_balance
201801,30ARM,"1,234,567","2,987",1.533
201802,30ARM,"1,234,894","2,995",1.645
201803,30ARM,"1,245,123","2,989",1.785
201804,30ARM,"1,244,200","2,897",1.435
201805,30ARM," 1,192,020 ",4734,1.651
201806,30ARM," 1,130,051 ",16519,1.382
201807,30ARM," 1,396,728 ",10771,2.075
201808,30ARM," 1,244,509 ",15088,1.686
201809,30ARM," 1,171,407 ",6179,1.479
201810,30ARM," 1,142,713 ",22565,1.479
201811,30ARM," 1,367,961 ",11716,1.565
201812,30ARM," 1,482,190 ",6118,1.884
201901,30ARM," 1,232,717 ",1797,1.896
201902,30ARM," 1,140,126 ",27221,1.443
201903,30ARM," 1,484,509 ",26613,1.623
201904,30ARM," 1,043,489 ",17689,2.064
201905,30ARM," 1,053,800 ",12925,1.401
201906,30ARM," 1,499,652 ",28423,2.057
201907,30ARM," 1,261,934 ",2273,1.378
201908,30ARM," 1,459,467 ",13549,2.064
201909,30ARM," 1,455,195 ",19498,2.004
201910,30ARM," 1,267,851 ",29538,1.888
201911,30ARM," 1,466,412 ",8757,1.854
201912,30ARM," 1,250,356 ",4454,1.593
202001,30ARM," 1,155,600 ",11426,1.489
202002,30ARM," 946,417 ",13336,1.364
202003,30ARM," 1,492,678 ",22893,1.436
202004,30ARM," 1,377,907 ",12177,1.414
202005,30ARM," 1,345,899 ",9677,2.082
202006,30ARM," 1,497,154 ",22343,2.003
202007,30ARM," 1,063,948 ",11332,1.558
202008,30ARM," 1,233,892 ",13147,2.021
202009,30ARM," 1,357,545 ",16081,1.799
202010,30ARM," 1,434,668 ",5253,1.816
202011,30ARM," 1,074,271 ",8936,1.522
202012,30ARM," 1,367,829 ",17621,1.926
